"Film"	"Budget"	"CA_USA"	"CA_Monde"
"American Pie 2"	30000000	145096820	286500000
"Ghostbusters"	30000000	238632124	291632124
"Chicago"	30000000	170687518	307687518
"Se7en"	30000000	100125643	328125643
"Toy Story"	30000000	191796233	361948825
"Get Shorty"	30250000	72021008	115021008
"Extraordinary Measures"	31000000	12482741	15875401
"Hearts in Atlantis"	31000000	24185781	30885781
"Frequency"	31000000	44983704	68079671
"Moonraker"	31000000	70300000	210300000
"Out of Africa"	31000000	79096868	258210860
"Repo Men"	32000000	13942007	18955617
"Laws of Attraction"	32000000	17848322	29948322
"A History of Violence"	32000000	31493782	59993782
"Takers"	32000000	57744720	70587268
"The Number 23"	32000000	35193167	77593167
"D-War"	32000000	10977721	79915361
"Men of Honor"	32000000	48814909	82339483
"The Transporter 2"	32000000	43095856	85095856
"Stigmata"	32000000	50041732	89441732
"1941"	32000000	34175000	94875000
"Nacho Libre"	32000000	80197993	99197993
"Snow Dogs"	32000000	81150692	115010692
"Phenomenon"	32000000	104636382	152036382
"Elf"	32000000	173398518	222124612
"The Reader"	32500000	34194407	106109365
"Bridesmaids"	32500000	169106725	288662020
"Star Wars Ep. VI: Return of the Jedi"	32500000	309205079	572700000
"Doomsday"	33000000	11008770	21621188
"Goal!"	33000000	4283255	27610873
"The Watcher"	33000000	28946615	47267829
"The Punisher"	33000000	33664370	54664370
"Snakes on a Plane"	33000000	34020814	62020814
"Exit Wounds"	33000000	51758599	79958599
"Big Momma's House"	33000000	117559438	173559438
"A Few Good Men"	33000000	141340178	236500000
"Gake no ue no Ponyo"	34000000	15090399	199090399
"The Darkest Hour"	34800000	20891591	49691591
"Punisher: War Zone"	35000000	8050977	8199130
"The Order"	35000000	7659747	11559747
"Whiteout"	35000000	10275638	12254746
"Zoom"	35000000	11989328	12506188
"The Fountain"	35000000	10144010	15461638
"Bait"	35000000	15325127	15471969
"Femme Fatale"	35000000	6630252	16830252
"Walk Hard: The Dewey Cox Story"	35000000	18317151	20575121
"The Shipping News"	35000000	11405825	24405825
"Biutiful"	35000000	5101237	25101237
"Cursed"	35000000	19294901	25114901
"Heist"	35000000	23483357	28483168
"The Young Victoria"	35000000	11001272	29275940
"Luther"	35000000	5781086	29465190
"The Four Feathers"	35000000	18306166	29882645
"Wonder Boys"	35000000	19389454	33422485
"The Bad News Bears"	35000000	32868349	33500620
"Dungeons and Dragons"	35000000	15185241	33771965
"Furry Vengeance"	35000000	17630465	35930465
"Jersey Girl"	35000000	25266129	37066129
"Wimbledon"	35000000	16862585	41862585
"A Good Year"	35000000	7459300	42064105
"The Nativity Story"	35000000	37629831	46432264
"The Tree of Life"	35000000	13305665	49815114
"Untraceable"	35000000	28687835	52649951
"Radio"	35000000	52333738	53293628
"Bounce"	35000000	36805288	53425292
"Predator 2"	35000000	28317513	54768418
"Donnie Brasco"	35000000	41954997	55954997
"Must Love Dogs"	35000000	43894863	58894863
"Secretariat"	35000000	59699513	60239513
"Valiant"	35000000	19478106	61746888
"Something Borrowed"	35000000	39046489	62823264
"Lions for Lambs"	35000000	14998070	63211088
"The Benchwarmers"	35000000	59843754	64865893
"The X-Files: I Want to Believe"	35000000	20982478	68369434
"House of Wax"	35000000	32064800	70064800
"License to Wed"	35000000	43799818	70187088
"The Back-up Plan"	35000000	37490007	75281179
"The Ladykillers"	35000000	39692139	77392139
"Abduction"	35000000	28087155	80687155
"In & Out"	35000000	63826569	83226569
"Max Payne"	35000000	40687294	85761789
"Nanny McPhee and the Big Bang"	35000000	29197642	91558678
"TMNT"	35000000	54149098	95009888
"Old Dogs"	35000000	49492060	96792060
"Street Fighter"	35000000	33423000	99423000
"Guess Who"	35000000	68915888	102115888
"Resident Evil"	35000000	40119709	103787401
"L.A. Confidential"	35000000	64604977	110604977
"Species"	35000000	60054449	113354449
"Closer"	35000000	33987757	115476509
"A Nightmare on Elm Street"	35000000	63075011	117729621
"The Pianist"	35000000	32519322	120000000
"Star Trek: The Motion Picture"	35000000	82258456	139000000
"In Time"	35000000	37397211	142797211
"21"	35000000	81159365	157852532
"Cape Fear"	35000000	79091969	182291969
"Spy Kids"	35000000	112692062	197692062
"The English Patient"	35000000	78716374	231716374
"Rush Hour"	35000000	141186864	245300000
"True Grit"	35000000	171243005	252276928
"The Blind Side"	35000000	255959475	308159475
"Austin Powers: The Spy Who Shagged Me"	35000000	206040085	310332636
"Lethal Weapon 3"	35000000	144731527	319700000
"The Devil Wears Prada"	35000000	124740460	326551094
"Batman"	35000000	251188924	411348924
"The Hangover"	35000000	277322503	469553471
"Head of State"	35200000	37788228	38283765
"There Be Dragons"	36000000	1069334	4020990
"A Man Apart"	36000000	26500000	44114828
"Hot Tub Time Machine"	36000000	50269859	63209958
"John Q"	36000000	71026631	102226631
"Blue Streak"	36000000	68208190	117448157
"Never Say Never Again"	36000000	55500000	160000000
"Magnolia"	37000000	22450975	48446802
"Cop Out"	37000000	44875481	55909910
"Space Chimps"	37000000	30105968	59517784
"Dolphin Tale"	37000000	72254797	83054797
"Nim's Island"	37000000	48006762	94081683
"The Town"	37000000	92186262	156786262
"Burn After Reading"	37000000	60355347	163415735
"Twilight"	37000000	192769854	397923934
"The Express"	37500000	9793406	9808102
"City of Ember"	38000000	7871693	11817059
"Rock Star"	38000000	16991902	19317765
"Joe Somebody"	38000000	22770864	24515990
"Angel Eyes"	38000000	24044532	29544532
"Push"	38000000	31811527	44411527
"Heartbreakers"	38000000	40334024	57753825
"The Ninth Gate"	38000000	18653746	58394308
"The Hurricane"	38000000	50699241	73956241
"Life as We Know It"	38000000	53374681	105887837
"Spy Kids 2: The Island of Lost Dreams"	38000000	85846296	119721296
"Star Trek: Generations"	38000000	75671262	120000000
"Sweet Home Alabama"	38000000	127214072	182365114
"The Ugly Truth"	38000000	88915214	205230042
"The Fast and the Furious"	38000000	144512310	206512310
"Against the Ropes"	39000000	5881504	6429865
"Sgt. Bilko"	39000000	30356589	37956589
"Serenity"	39000000	25514517	38514517
"The Time Traveler's Wife"	39000000	63414846	98666635
"Pirates"	40000000	1641825	6341825
"Alex Rider: Operation Stormbreaker"	40000000	659210	9351567
"Duplex"	40000000	9652000	10070651
"Universal Soldier II: The Return"	40000000	10447421	10717421
"Extreme Ops"	40000000	4835968	12624471
"The Hudsucker Proxy"	40000000	2816518	14938149
"Just Visiting"	40000000	4777007	16172200
"Kiss of Death"	40000000	14942422	17000000
"Pandorum"	40000000	10330853	17033431
"Get Carter"	40000000	14967182	19417182
"Amelia"	40000000	14279575	19756077
"New York Minute"	40000000	14018364	21215882
"The Art of War"	40000000	30199105	30700000
"Rent"	40000000	29077547	31670620
"Sunshine"	40000000	3688560	32030610
"City Hall"	40000000	20278055	33300000
"Cirque du Freak: The Vampire's Assistant"	40000000	14046595	34372469
"Alfie"	40000000	13395939	35195939
"Showgirls"	40000000	20350754	37750754
"Quest for Camelot"	40000000	22772500	38172500
"The Warlords"	40000000	129078	38899792
"Bless the Child"	40000000	29374178	40435694
"Torque"	40000000	21176322	46176322
"Get Rich or Die Tryin'"	40000000	30981850	46437122
"The Fantastic Mr. Fox"	40000000	21002919	46498922
"Drillbit Taylor"	40000000	32862104	49686263
"Fever Pitch"	40000000	42071069	50071069
"Hanging Up"	40000000	36037909	51867723
"Mickey Blue Eyes"	40000000	33864342	53864342
"Morning Glory"	40000000	31011732	60040974
"Marie Antoinette"	40000000	15962471	60862471
"The Reaping"	40000000	25126214	62226214
"Colombiana"	40000000	36665854	64731107
"Sweet November"	40000000	25288103	65754228
"Small Soldiers"	40000000	55143823	71743823
"The Other Boleyn Girl"	40000000	26814957	77714957
"The Lincoln Lawyer"	40000000	58009200	85507593
"Spawn"	40000000	54979992	87949859
"Autumn in New York"	40000000	37752931	90717684
"Get Him to the Greek"	40000000	61153526	91455875
"I Love You, Man"	40000000	71440011	91729503
"The Skeleton Key"	40000000	47907715	92907715
"Secret Window"	40000000	47958031	92958031
"Season of the Witch"	40000000	24827228	93648493
"8MM"	40000000	36443442	96398826
"Paul"	40000000	37412945	98550171
"Made of Honor"	40000000	46012734	106548738
"The Prestige"	40000000	53089891	107896006
"The Lake House"	40000000	52330111	114830111
"Shall We Dance?"	40000000	57887882	118097882
"Red Cliff"	40000000	627047	119627047
"Eight Below"	40000000	81612565	120612565
"Apocalypto"	40000000	50866635	120666635
"Ray"	40000000	75305995	125305995
"Julie & Julia"	40000000	94125426	126646119
"Predators"	40000000	52000688	127234389
"The Talented Mr. Ripley"	40000000	81292135	128792135
"A League of Their Own"	40000000	107533925	132440066
"Big Momma's House 2"	40000000	70165972	137047376
"Music and Lyrics"	40000000	50572589	145021477
"The Mexican"	40000000	66808615	145238250
"A Time to Kill"	40000000	108766007	152266007
"Sin City"	40000000	74103820	158753820
"Scream 3"	40000000	89138076	161838076
"Spy Kids 3-D: Game Over"	40000000	111760631	167851995
"Double Jeopardy"	40000000	116735231	177835231
"Scary Movie 4"	40000000	90710620	178710620
"The Final Destination"	40000000	66477700	185777700
"Cheaper by the Dozen"	40000000	138614544	189714544
"The Living Daylights"	40000000	51185000	191200000
"JFK"	40000000	70405498	205400000
"Dracula"	40000000	82522790	215862692
"The Social Network"	40000000	96962694	224922135
"Back to the Future Part III"	40000000	87666629	243700000
"The Wedding Crashers"	40000000	209218368	283218368
"The Proposal"	40000000	163958031	314709717
"Back to the Future Part II"	40000000	118450002	332000000
"The Karate Kid"	40000000	176591618	359091618
"The Sixth Sense"	40000000	293506292	672806292
"8 Mile"	41000000	116724075	242924075
"The Warrior's Way"	42000000	5666340	8514325
"Micmacs"	42000000	1259693	11756922
"The Mothman Prophecies"	42000000	35228696	54639865
"15 Minutes"	42000000	24375436	56331864
"Lord of War"	42000000	24149632	62142629
"High Crimes"	42000000	41543207	63781100
"Hero"	42000000	19487173	66787173
"Boomerang"	42000000	70052444	131052444
"License to Kill"	42000000	34667015	156167015
"Along Came Polly"	42000000	88073507	170360435
"Chicken Run"	42000000	106793915	227793915
"The Firm"	42000000	158340892	270340892
"Notting Hill"	42000000	116089678	363728226
"The Mechanic"	42500000	29121498	61348221
"The Sweetest Thing"	43000000	24430272	44633441
"Danny the Dog"	43000000	24537621	49037621
"28 Days"	43000000	37035515	62063972
"Finding Forrester"	43000000	51768623	80013623
"The Juror"	44000000	22730924	35000000
"Charlie St. Cloud"	44000000	31206263	48478084
"Cleopatra"	44000000	48000000	62000000
"Sleepers"	44000000	53300852	165600852
"Rambo: First Blood Part II"	44000000	150415432	300400000
"The Fugitive"	44000000	183875760	353715317
"Big Trouble"	45000000	7262288	8488871
"Miracle at St. Anna"	45000000	7916887	9110458
"Rebound"	45000000	16809014	17492014
"All the Pretty Horses"	45000000	15527125	18120267
"Across the Universe"	45000000	24343673	29367143
"The Pledge"	45000000	19719930	29406132
"Love in the Time of Cholera"	45000000	4617608	31077418
"Pinocchio"	45000000	3681811	31681811
"The Producers: The Movie Musical"	45000000	19398532	32952995
"Nixon"	45000000	13668249	34668249
"The Glimmer Man"	45000000	20404841	36404841
"Last Holiday"	45000000	38399961	43343247
"Bangkok Dangerous"	45000000	15298133	46598133
"Fat Albert"	45000000	48114556	48563556
"The Ant Bully"	45000000	28142535	55181129
"Kicking and Screaming"	45000000	52842724	55842724
"Cellular"	45000000	32003620	56403620
"Aliens in the Attic"	45000000	25200412	59551283
"The Ghost Writer"	45000000	15541549	63241549
"16 Blocks"	45000000	36895141	65595141
"Babylon A.D."	45000000	22532572	70216497
"Yours, Mine and Ours"	45000000	53359917	72359917
"Man cheng jin dai huang jin jia"	45000000	6566773	75566773
"Tin Cup"	45000000	53854588	75854588
"Coach Carter"	45000000	67264877	76669806
"Revolutionary Road"	45000000	22911480	76989671
"Galaxy Quest"	45000000	71423726	90523726
"The River Wild"	45000000	46815000	94215000
"The Muppets"	45000000	86409396	101409396
"The Hitchhiker's Guide to the Galaxy"	45000000	51019112	104019112
"Training Day"	45000000	76261036	104505362
"Underworld: Evolution"	45000000	62318875	111318875
"Frankenstein"	45000000	22006296	112006296
"Coyote Ugly"	45000000	60786269	115786269
"The Client"	45000000	92115211	117615211
"The Princess Diaries 2: Royal Engagement"	45000000	95149435	122071435
"Blade"	45000000	70141876	131237688
"The Bounty Hunter"	45000000	67061228	134279918
"Anaconda"	45000000	65598907	136998907
"Scary Movie 2"	45000000	71277420	141189101
"Resident Evil: Extinction"	45000000	50648679	146162920
"Scary Movie 3"	45000000	110000082	155200000
"Monster-in-Law"	45000000	82931301	155931301
"Johnny English Reborn"	45000000	8305970	159270879
"Johnny English"	45000000	28013509	160323929
"The Specialist"	45000000	57362581	170400000
"The Bucket List"	45000000	93466502	174310293
"Patriot Games"	45000000	83287363	178100000
"The Pelican Brief"	45000000	100768056	187995859
"Miss Congeniality"	45000000	106807667	213420951
"Journey to the Center of the Earth"	45000000	101704370	240904370
"Love Actually"	45000000	59472278	247967903
"Liar Liar"	45000000	181410615	302710615
"The Flintstones"	45000000	130531208	358500000
"A Bug's Life"	45000000	162798565	363109485
"Courage Under Fire"	46000000	59003384	100833145
"Insomnia"	46000000	67263182	113622499
"Star Trek: First Contact"	46000000	92027888	150000000
"America's Sweethearts"	46000000	93607673	160648493
"My Best Friend's Wedding"	46000000	126813153	298923419
"Mary Reilly"	47000000	5707094	12900000
"Happily N'Ever After"	47000000	15849032	38344430
"The Cable Guy"	47000000	60240295	102825796
"Dick Tracy"	47000000	103738726	162738726
"Rambo"	47500000	42754105	116754105
"3:10 to Yuma"	48000000	53606916	69791889
"Kate and Leopold"	48000000	47095453	70937778
"Out of Sight"	48000000	37562568	77562568
"Rat Race"	48000000	56607223	86607223
"Bedazzled"	48000000	37879996	90376224
"Three Kings"	48000000	60652036	107752036
"The Tooth Fairy"	48000000	60022256	112610386
"The Thomas Crown Affair"	48000000	69304264	124304264
"The Bone Collector"	48000000	66488090	151463090
"Panic Room"	48000000	95308367	196308367
"Traffic"	48000000	124107476	208300000
"The Ring"	48000000	129094024	248218486
"Indiana Jones and the Last Crusade"	48000000	197171806	474171806
"Invictus"	49000000	37491364	124491364
"Outlander"	50000000	166003	1250617
"The Big Bounce"	50000000	6471394	6626115
"Death to Smoochy"	50000000	8355815	8374062
"Man of the House"	50000000	19699706	22099706
"Domino"	50000000	10169202	22969202
"Fair Game"	50000000	11497497	26097497
"The Life of David Gale"	50000000	19694635	28920188
"The Iron Giant"	50000000	23159305	31333917
"The Life Aquatic with Steve Zissou"	50000000	24006726	34806726
"The Boat That Rocked"	50000000	8017467	37472651
"Twisted"	50000000	25195050	40119848
"Into the Blue"	50000000	18782227	41982227
"Defiance"	50000000	28644813	42268745
"Basic"	50000000	26599248	42598498
"Raising Helen"	50000000	37485528	43340302
"For Love of the Game"	50000000	35188640	46112640
"The Negotiator"	50000000	44705766	49105766
"The Replacements"	50000000	44737059	50054511
"The International"	50000000	25450527	53850527
"Out of Time"	50000000	41083108	55489826
"Murder by Numbers"	50000000	31874869	56643267
"Ninja Assassin"	50000000	38122883	61622883
"The Peacemaker"	50000000	41263140	62967368
"The Adventures of Sharkboy and Lavagirl in 3-D"	50000000	39177684	69425966
"Curious George"	50000000	58640119	70114174
"Hannibal Rising"	50000000	27669725	80583311
"Assassins"	50000000	30306268	83306268
"Marmaduke"	50000000	33644788	84023611
"Syriana"	50000000	50824620	95024620
"Christmas with the Kranks"	50000000	73701902	96501902
"Silent Hill"	50000000	46982632	99982632
"Don't Say a Word"	50000000	54997476	104488383
"Moneyball"	50000000	75440944	106019237
"Striptease"	50000000	33109743	113309743
"The Forgotten"	50000000	66711892	117211892
"Unfaithful"	50000000	52752475	119114494
"Beverly Hills Cop III"	50000000	42586861	119180938
"Failure to Launch"	50000000	88715192	128402901
"Resident Evil: Apocalypse"	50000000	50740078	128940078
"V for Vendetta"	50000000	70511035	132511035
"Herbie: Fully Loaded"	50000000	66010682	144110682
"Crazy, Stupid, Love"	50000000	84351197	148351197
"Congo"	50000000	81022333	152022333
"Stepmom"	50000000	91137662	159745279
"Payback"	50000000	81526121	161626121
"The Ring Two"	50000000	75941727	161941727
"Mr. Deeds"	50000000	126293452	171269535
"How to Lose a Guy in 10 Days"	50000000	105807520	177079973
"Inside Man"	50000000	88634237	184634237
"Knowing"	50000000	79957634	187858642
"Garfield"	50000000	75367693	200802638
"Patch Adams"	50000000	135041968	202200000
"Interview with the Vampire: The Vampire Chronicles"	50000000	105264608	223564608
"Yes Man"	50000000	97690976	225990976
"Erin Brockovich"	50000000	125548685	257805243
"Super 8"	50000000	127004179	259941591
"Bridget Jones: The Edge Of Reason"	50000000	40203020	263894551
"Jerry Maguire"	50000000	153952592	274000000
"As Good as it Gets"	50000000	148478011	314111923
"Robin Hood: Prince of Thieves"	50000000	165493908	390500000
"Shrek"	50000000	267655011	484399218
"The Twilight Saga: New Moon"	50000000	296623634	712623634
"Barnyard: The Original Party Animals"	51000000	72779000	116618084
"Me, Myself & Irene"	51000000	90570999	149270999
"Man on the Moon"	52000000	34580635	47407635
"From Paris With Love"	52000000	24077427	53139168
"The Change-Up"	52000000	37081475	74849941
"Casino"	52000000	42438300	110400000
"The Break Up"	52000000	118806699	202944203
"Valentine's Day"	52000000	110485654	217569328
"Catch Me if You Can"	52000000	164606800	351106800
"Grindhouse"	53000000	25031037	50187789
"Domestic Disturbance"	53000000	45207112	54207112
"Flags of Our Fathers"	53000000	33602376	61902376
"The Dukes of Hazzard"	53000000	80270227	110993895
"Law Abiding Citizen"	53000000	73357727	126439138
"Anastasia"	53000000	58403409	139801410
"Moulin Rouge"	53000000	57386369	179213196
"Shaft"	53012938	70327868	107190108
"Gigli"	54000000	6087542	7266209
"Elizabethtown"	54000000	26850426	50719373
"You, Me and Dupree"	54000000	75802010	130402010
"Blade 2"	54000000	81676888	154338601
"Seven Pounds"	54000000	69951824	166617328
"Eye See You"	55000000	79161	1807990
"Lucky You"	55000000	5755286	6521829
"All the King's Men"	55000000	7221458	9521458
"Gods and Generals"	55000000	12882934	12923936
"Thunderbirds"	55000000	6768055	28231444
"The Hunted"	55000000	34234008	45016494
"Aeon Flux"	55000000	25857987	47953341
"A Very Long Engagement"	55000000	6167817	59606587
"Chain Reaction"	55000000	21226204	60209334
"Stuck On You"	55000000	33832741	63537164
"Ronin"	55000000	41610884	70692101
"Shanghai Noon"	55000000	56932305	71189835
"R.V."	55000000	71724497	87524497
"Burlesque"	55000000	39440655	89657398
"Bowfinger"	55000000	66458769	98699769
"Changeling"	55000000	35739802	113805580
"Executive Decision"	55000000	56679192	122079192
"American Wedding"	55000000	104354205	126425115
"The Forbidden Kingdom"	55000000	52075270	129075270
"Death Becomes Her"	55000000	58422650	149022650
"Kill Bill: Volume 2"	55000000	66207920	150907920
"Evita"	55000000	50047179	151947179
"Date Night"	55000000	98711404	152269033
"The Phantom of the Opera"	55000000	51225796	158225796
"Alien³"	55000000	54927174	158500000
"Crimson Tide"	55000000	91387195	159387195
"Maid in Manhattan"	55000000	93932896	163838217
"George Of The Jungle"	55000000	105263257	174463257
"Kill Bill: Volume 1"	55000000	70098138	180098138
"Mr. Poppers's Penguins"	55000000	68224452	189624452
"Stargate"	55000000	71565669	196565669
"City of Angels"	55000000	78750909	198750909
"Flightplan"	55000000	89706988	225706988
"The Nutty Professor"	55000000	128814019	273814019
"Casper"	55000000	100328194	282300000
"Superman"	55000000	134218018	300200000
"Meet the Parents"	55000000	166225040	304599899
"The Pursuit of Happyness"	55000000	162586036	306086036
"Pocahontas"	55000000	141579773	347100000
"Alvin and the Chipmunks"	55000000	217326974	360578644
"Hitch"	55000000	177784257	366784257
"Forrest Gump"	55000000	329694499	679400525
"Walking Tall"	56000000	46213824	47313824
"Anger Management"	56000000	135560942	195660942
"The Pacifier"	56000000	113006880	198006880
"After the Sunset"	57000000	28328132	38329114
"Captain Corelli's Mandolin"	57000000	25528495	62097495
"Dragonheart"	57000000	51364680	104364680
"Devil's Advocate"	57000000	61007424	153007424
"Resident Evil: Afterlife 3D"	57500000	60128566	295874190
"Sex and the City"	57500000	152647258	415247258
"Che, El Ar the Argentine"	58000000	293708	30118557
"Leatherheads"	58000000	31373938	40830862
"The Flintstones in Viva Rock Vegas"	58000000	35231365	59431365
"Did You Hear About the Morgans?"	58000000	29580087	80480566
"Sabrina"	58000000	53458319	87100000
"Just Like Heaven"	58000000	48318130	100687083
"Rambo III"	58000000	53715611	188715611
"The Great Raid"	60000000	10166502	10597070
"Beyond Borders"	60000000	4426297	11427090
"Flyboys"	60000000	13090630	14816379
"The Last Castle"	60000000	18208078	20541668
"EDtv"	60000000	22508689	35319689
"The Soloist"	60000000	31720158	38454152
"The Legend of Bagger Vance"	60000000	30695227	39235486
"The Black Dahlia"	60000000	22672813	46672813
"Almost Famous"	60000000	32522352	47371191
"The Avengers"	60000000	23385416	48585416
"Dark Water"	60000000	25473093	49473093
"Meet Dave"	60000000	11803254	50648806
"Analyze That"	60000000	32122249	54994757
"Year One"	60000000	43337279	57604723
"Inkheart"	60000000	17303424	58051454
"Star Trek: Nemesis"	60000000	43254409	67312826
"Practical Magic"	60000000	46850558	68336997
"XXX: State of the Union"	60000000	26873932	71073932
"Rules of Engagement"	60000000	61322858	71719931
"The Sentinel"	60000000	36280697	78080697
"Righteous Kill"	60000000	40081410	78481410
"Sinbad: Legend of the Seven Seas"	60000000	26483452	80767884
"Edge of Darkness"	60000000	43313890	81208697
"Sky High"	60000000	63939454	81627454
"Priest in 3D"	60000000	29136626	81885439
"Reign of Fire"	60000000	43061982	82150183
"The Shaggy Dog"	60000000	61123569	87123569
"The Tale of Despereaux"	60000000	50877145	88717945
"Paycheck"	60000000	53789313	89350576
"Kangaroo Jack"	60000000	66723216	90723216
"State of Play"	60000000	37017955	91445389
"Shooter"	60000000	47003582	95703582
"Hellboy"	60000000	59623958	99823958
"Any Given Sunday"	60000000	75530832	100230832
"Up Close & Personal"	60000000	51045801	100645801
"Miss Congeniality 2: Armed and Fabulous"	60000000	48478006	101382396
"Ladder 49"	60000000	74541707	102332848
"Under Siege 2: Dark Territory"	60000000	50024083	104324083
"Planet 51"	60000000	42194060	108005745
"Man on Fire"	60000000	77906816	118706816
"Intolerable Cruelty"	60000000	35327628	121327628
"Coraline"	60000000	75286229	124062750
"The Family Man"	60000000	75764085	124715863
"Jingle All the Way"	60000000	60592389	129832389
"Cheaper by the Dozen 2"	60000000	82571173	135015330
"The General's Daughter"	60000000	102705852	149705852
"Antz"	60000000	90757863	152457863
"Days of Thunder"	60000000	82670733	157670733
"The Jackal"	60000000	54956941	159356941
"Alien: Resurrection"	60000000	47795018	160700000
"The Happening"	60000000	64506874	163403799
"Daddy Day Care"	60000000	104148781	164285587
"The Scorpion King"	60000000	90580000	164529000
"Deep Blue Sea"	60000000	73648228	165048228
"Starsky & Hutch"	60000000	88200225	170200225
"Couples Retreat"	60000000	109205660	172450423
"The Italian Job"	60000000	106126012	175826012
"The Horse Whisperer"	60000000	75383563	186883563
"Red"	60000000	90380162	196439693
"Two Weeks Notice"	60000000	93354918	199043309
"Cats & Dogs"	60000000	93375151	200700000
"Eat Pray Love"	60000000	80574010	205846861
"The Bourne Identity"	60000000	121468960	213300000
"Collateral"	60000000	100170152	217670152
"The Prince of Egypt"	60000000	101413188	218600000
"The Truman Show"	60000000	125618201	248400000
"The Green Mile"	60000000	136801374	290701374
"Chicken Little"	60000000	135386665	314432738
"Goldeneye"	60000000	106429941	356429941
"300"	60000000	210614939	456068181
"Meet the Fockers"	60000000	279167575	516567575
"Blades of Glory"	61000000	118594548	145594548
"3000 Miles to Graceland"	62000000	15738632	18708848
"The American President"	62000000	60022813	107822813
"U-571"	62000000	77086030	127630030
"Clear and Present Danger"	62000000	122012656	207500000
"Hop"	63000000	108085305	187726914
"Austin Powers in Goldmember"	63000000	213117789	292738626
"Jurassic Park"	63000000	357067947	923863984
"Perfume: The Story of a Murderer"	63700000	2223293	132180323
"Random Hearts"	64000000	31054924	63200000
"Little Man"	64000000	58636047	101636047
"Oliver Twist"	65000000	2070920	26670920
"The Missing"	65000000	26900336	38253433
"Astro Boy"	65000000	19551067	44093014
"Elektra"	65000000	24409722	56409722
"Zathura"	65000000	28045540	58545540
"Proof of Life"	65000000	32598931	62761005
"Death Race"	65000000	36316032	72516819
"Eyes Wide Shut"	65000000	55691208	86257553
"Fight Club"	65000000	37030102	100853753
"Step Brothers"	65000000	100468793	128468793
"Space Cowboys"	65000000	90454043	128874043
"Blade: Trinity"	65000000	52397389	132397389
"Mona Lisa Smile"	65000000	63803100	141205169
"Broken Arrow"	65000000	70645997	148345997
"World Trade Center"	65000000	70278893	163278893
"The Santa Clause 2"	65000000	139225854	172825854
"Due Date"	65000000	100539043	211739043
"The Mask of Zorro"	65000000	93828745	233700000
"You've Got Mail"	65000000	115821495	250800000
"Cliffhanger"	65000000	84049211	255000000
"Total Recall"	65000000	119394839	261400000
"Jumanji"	65000000	100458310	262758310
"Apollo 13"	65000000	172070496	334100000
"What Women Want"	65000000	182805123	372100000
"Ice Age"	65000000	176387405	383257136
"The Matrix"	65000000	171479930	460279930
"Saving Private Ryan"	65000000	216335085	485035085
"The X Files: Fight the Future"	66000000	83898313	189176423
"Entrapment"	66000000	87707396	211700000
"The Last Legion"	67000000	5932060	25332060
"Body of Lies"	67500000	39394666	108394666
"The Mystery Men"	68000000	29762011	33462011
"The Insider"	68000000	28965197	60265197
"Dreamcatcher"	68000000	33685268	75685268
"Money Train"	68000000	35324232	77224232
"The Score"	68000000	71069884	113542091
"The Sum of All Fears"	68000000	118471320	193500000
"The Twilight Saga: Eclipse"	68000000	300531751	693431751
"Dinner for Schmucks"	69000000	73026337	86796502
"Despicable Me"	69000000	251513985	543495033
"Rollerball"	70000000	18990542	25852508
"Hart's War"	70000000	19076815	33076815
"Basic Instinct 2"	70000000	5946136	35417162
"Killer Elite"	70000000	25124986	36488231
"Agora"	70000000	619423	38992292
"Sky Captain and the World of Tomorrow"	70000000	37760080	49730854
"Doom"	70000000	28212337	54612337
"I Spy"	70000000	33561137	60279822
"Bad Company"	70000000	30157016	69157016
"The Dilemma"	70000000	48475290	70546865
"War Horse"	70000000	69134678	86434678
"We Were Soldiers"	70000000	78120196	114658262
"The Siege"	70000000	40934175	116625798
"Star Trek: Insurrection"	70000000	70187658	117800000
"Big Fish"	70000000	66432867	123432867
"Wolf"	70000000	65011757	131011757
"Seven Years in Tibet"	70000000	37945884	131445884
"Stardust"	70000000	38634938	135556675
"Wall Street 2: Money Never Sleeps"	70000000	52474616	137431619
"AVP: Alien Vs. Predator"	70000000	80281096	172543519
"Vanilla Sky"	70000000	100614858	202726605
"Sleepy Hollow"	70000000	101068340	207068340
"S.W.A.T."	70000000	116877597	207154748
"Die Hard 2"	70000000	117323878	239814025
"Hercules"	70000000	99112101	250700000
"xXx"	70000000	141930000	267200000
"Hook"	70000000	119654823	300854823
"Ransom"	70000000	136492681	308700000
"Runaway Bride"	70000000	152257509	310138178
"Inglourious Basterds"	70000000	120831050	320389438
"Who Framed Roger Rabbit?"	70000000	154112492	351500000
"Alvin and the Chipmunks: The Squeakquel"	70000000	219614612	443483213
"Cars"	70000000	244082982	461923762
"Shrek 2"	70000000	441226247	919838758
"Signs"	70702619	227965690	408265690
"Doctor Dolittle"	71500000	144156605	294156605
"The Village"	71682975	114197520	257641634
"The Majestic"	72000000	27796042	37306334
"Driven"	72000000	32616869	54616869
"Two Brothers"	72000000	19176754	62176754
"Jarhead"	72000000	62647540	96947540
"Doctor Dolittle 2"	72000000	112950721	176101721
"Braveheart"	72000000	75545647	209000000
"Funny People"	72500000	51855045	71880305
"The Kingdom"	72500000	47467250	86509602
"Fool's Gold"	72500000	70231041	109362966
"The Simpsons Movie"	72500000	183135014	527071022
"Sphere"	73000000	37068294	50168294
"Snake Eyes"	73000000	55591409	103891409
